case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;
 [m];Pressure [Line 1] [bara]; [m];Pressure [Line 2] [bara]; [m];Pressure [Mainline] [bara]; [m];Pressure [Wellbore1] [bara]; [m];Pressure [Wellbore2] [bara]; [m];Pressure [Wellbore3] [bara]; [m];Pressure [Wellbore4] [bara];
;;;;20350,60206209976;191,6780717835293;;;;;;;;;
;;;;20450,60502063588;191,7100363576591;;;;;;;;;
;;;;20550,60797917199;191,741997229047;;;;;;;;;
;;;;20650,61093770811;191,7739543988328;;;;;;;;;
;;;;20750,61389624422;191,8059078680389;;;;;;;;;
;;;;20850,61685478034;191,8378576375729;;;;;;;;;
;;;;20950,61981331645;191,8698037084546;;;;;;;;;
;;;;21050,62277185257;191,9017460817019;;;;;;;;;
;;;;21150,62573038868;191,9336847583313;;;;;;;;;
;;;;21250,6286889248;191,9656197393571;;;;;;;;;
;;;;21350,63164746091;191,9975510257921;;;;;;;;;
;;;;21450,63460599703;192,0294786167765;;;;;;;;;
;;;;21550,63756453314;192,0614025192422;;;;;;;;;
;;;;21650,64052306926;192,0933227338513;;;;;;;;;
;;;;21750,64348160537;192,1252392614947;;;;;;;;;
;;;;21850,64644014149;192,1571521031752;;;;;;;;;
;;;;21950,6493986776;192,1890612598936;;;;;;;;;
;;;;22050,65235721372;192,2209667326496;;;;;;;;;
;;;;22150,65531574983;192,2528685224406;;;;;;;;;
;;;;22250,65827428595;192,2847666302626;;;;;;;;;
;;;;22350,66123282207;192,3166610571097;;;;;;;;;
;;;;22450,66419135818;192,3485518039744;;;;;;;;;
;;;;22550,6671498943;192,3804388718474;;;;;;;;;
;;;;22650,67010843041;192,4123222617174;;;;;;;;;
;;;;22750,67306696653;192,4442019698319;;;;;;;;;
;;;;22850,67602550265;192,4760780118934;;;;;;;;;
;;;;22950,67898403876;192,5079503880131;;;;;;;;;
;;;;23050,68194257488;192,5398190991697;;;;;;;;;
;;;;23150,68490111099;192,5716841463406;;;;;;;;;
;;;;23250,68785964711;192,6035455306146;;;;;;;;;
;;;;23350,69081818322;192,6354032529651;;;;;;;;;
;;;;23450,69377671934;192,6672573142514;;;;;;;;;
;;;;23550,69673525545;192,6991077154436;;;;;;;;;
;;;;23650,69969379157;192,7309544575108;;;;;;;;;
;;;;23750,70265232768;192,76279754142;;;;;;;;;
;;;;23850,7056108638;192,7946369681368;;;;;;;;;
;;;;23950,70856939991;192,8264727386239;;;;;;;;;
;;;;24050,71152793603;192,8583048420333;;;;;;;;;
;;;;24150,71448647214;192,8901333159986;;;;;;;;;
;;;;24250,71744500826;192,9219581594184;;;;;;;;;
;;;;24350,72040354437;192,9537793732412;;;;;;;;;
;;;;24450,72336208049;192,985596958302;;;;;;;;;
;;;;24550,7263206166;193,0174109155466;;;;;;;;;
;;;;24650,72927915272;193,0492212459192;;;;;;;;;
;;;;24750,73223768883;193,0810279503622;;;;;;;;;
;;;;24850,73519622495;193,1128310298164;;;;;;;;;
